"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000217075",3.21752693210469,0.258151384762447,0.990926950548911,0.260515050700203,0.794466507235521,NA
"ENSG00000049656",1482.92050645464,0.257927623405353,0.089347113571911,2.88680420770124,0.00389176325769596,0.0210739564753074
"ENSG00000165376",2.49795161802285,0.257853527930718,1.13565816764539,0.227052061330512,0.820383260036385,NA
"ENSG00000124164",1217.0905878754,0.257816153036131,0.0887190139892274,2.90598532877559,0.00366098614000666,0.0200433952014067
"ENSG00000110446",320.470565845152,0.257749566675604,0.131710069146272,1.95694655956301,0.0503537517113914,0.161454650891098
"ENSG00000113811",366.713731467222,0.257748964937372,0.121363278735985,2.12378050116857,0.0336885022199513,0.118902147588601
"ENSG00000129595",2.87716387175924,0.257711498258608,1.05745849041382,0.24370838249902,0.807456680796315,NA
"ENSG00000023572",91.1173004626901,0.257708313724584,0.224656470828539,1.14712170441452,0.25133132471733,0.493844006462122
"ENSG00000058600",489.438714152873,0.257678428028632,0.116422825661293,2.21329817898675,0.0268770950896074,0.100195943488898
"ENSG00000250474",4.08110435990929,0.257587692340356,0.872571980880806,0.295205092513213,0.767837211999408,NA
"ENSG00000069869",1086.89623545497,0.257574574700082,0.111418893900486,2.31176747213212,0.0207905008657581,0.0819441118276173
"ENSG00000188686",9.05569878663846,0.257490799568886,0.698391454978131,0.368691222857171,0.712357891719189,0.868978318460318
"ENSG00000272579",34.1097012257754,0.25747900693731,0.337401918291148,0.763122534220828,0.445390322217116,0.685379611727174
"ENSG00000228672",33.5438906011578,0.257361506516156,0.32118226847942,0.801294254924432,0.422961316013461,0.667192676308558
"ENSG00000204377",20.0135715086624,0.25734384671313,0.410733355067053,0.626547232014109,0.530956067027256,0.750740986484394
"ENSG00000184207",122.560408935509,0.257314241438712,0.184159070921557,1.39723902901484,0.162341703764735,0.374339910054578
"ENSG00000248719",7.95735144511532,0.257301018453732,0.714040327760967,0.360345219240707,0.718588987339987,0.873156976505981
"ENSG00000099949",1560.5264946498,0.257291991938348,0.106659557317784,2.41227320278263,0.0158533971885325,0.0660967533187555
"ENSG00000207425",16.9708255184819,0.257101414370118,0.483444137756248,0.531812042573051,0.594856181234107,0.79638032964685
"ENSG00000061676",5683.14625496075,0.257046907982516,0.0962967270169482,2.66932133568024,0.00760046972095181,0.0369511108137512
"ENSG00000196663",1352.54774864682,0.257046898857732,0.0865619638585664,2.96951325269977,0.00298271946296332,0.0169133325019354
"ENSG00000102606",1427.06862807081,0.257007940180416,0.101663374300934,2.52802882009058,0.0114704935710125,0.0512731631315066
"ENSG00000151576",199.979618649367,0.256928849455522,0.154172222002115,1.66650545811032,0.0956127819864634,0.256752000711826
"ENSG00000163702",665.375864910786,0.256909652128219,0.107969543456072,2.37946409612027,0.0173378319335807,0.0708282250626025
"ENSG00000198258",1179.91314834214,0.256872628083193,0.0915927279415002,2.80450898074851,0.00503932837179662,0.0263160061396573
"ENSG00000122741",995.17354339645,0.256838746601607,0.0987290554220327,2.60145045958062,0.00928304717056536,0.0432984755767291
"ENSG00000272908",2.16597933437674,0.256830533134005,1.49607298615485,0.171669788513528,0.863697138437564,NA
"ENSG00000169105",873.969507342414,0.25683003480436,0.102049473794438,2.51672081447184,0.0118452649086801,0.0524929508069107
"ENSG00000114982",2116.6241347868,0.256822668812854,0.113398185806458,2.26478639835724,0.0235257905062435,0.0903550701615726
"ENSG00000206630",2.08467377621775,0.256726736613976,1.31605784249255,0.19507253277542,0.845336165153713,NA
"ENSG00000168291",647.622543059244,0.256585005308947,0.101741395129107,2.52193323065158,0.0116711859185469,0.0519088884019051
"ENSG00000273295",31.1495966490813,0.256578652533234,0.388791363916595,0.659939176499498,0.509292862245561,0.734682634803089
"ENSG00000267473",24.376534183614,0.256517611899886,0.386605264020243,0.663512982809398,0.507002067364376,0.733434518950215
"ENSG00000115594",11566.1472011692,0.256491554344088,0.133169786779619,1.92604914783375,0.0540982373357551,0.17003650263872
"ENSG00000238099",1.76033543232925,0.256423666092294,1.57713520537714,0.162588258266023,0.870842632518427,NA
"ENSG00000121931",186.882541834857,0.256245648811265,0.151576365416596,1.69053828482424,0.0909250202715174,0.247518110739131
"ENSG00000116670",340.87417155837,0.256104104273105,0.122152445995715,2.09659415483247,0.036029517158074,0.125044013828566
